Date,Month,Season,Temperature,DayType,Event,TimeSlot,LocationType,Product,UnitsSold,Sales
2022-01-14,1,Winter,22.307043047649,Weekday,None,Morning,Urban,Coffee,60,3600
2022-01-15,1,Winter,25.42846844354506,Weekend,None,Evening,Urban,Vanilla,167,6680
2022-01-15,1,Winter,25.42846844354506,Weekend,None,Evening,Urban,Chocolate,208,10400
2022-01-15,1,Winter,25.42846844354506,Weekend,None,Evening,Urban,Strawberry,161,7245
2022-01-15,1,Winter,25.42846844354506,Weekend,None,Evening,Urban,Butterscotch,158,8690
2022-01-15,1,Winter,25.42846844354506,Weekend,None,Evening,Urban,Coffee,126,7560
2022-01-16,1,Winter,20.51970255339002,Weekend,None,Morning,Urban,Vanilla,125,5000
2022-01-16,1,Winter,20.51970255339002,Weekend,None,Morning,Urban,Chocolate,110,5500
2022-01-16,1,Winter,20.51970255339002,Weekend,None,Morning,Urban,Strawberry,101,4545
2022-01-16,1,Winter,20.51970255339002,Weekend,None,Morning,Urban,Butterscotch,106,5830
2022-01-16,1,Winter,20.51970255339002,Weekend,None,Morning,Urban,Coffee,96,5760
2022-01-17,1,Winter,19.241727297298592,Weekday,None,Morning,Rural,Vanilla,85,3400
2022-01-17,1,Winter,19.241727297298592,Weekday,None,Morning,Rural,Chocolate,69,3450
2022-01-17,1,Winter,19.241727297298592,Weekday,None,Morning,Rural,Strawberry,64,2880
2022-01-17,1,Winter,19.241727297298592,Weekday,None,Morning,Rural,Butterscotch,84,4620
2022-01-17,1,Winter,19.241727297298592,Weekday,None,Morning,Rural,Coffee,58,3480
2022-01-18,1,Winter,26.091659573251317,Weekday,None,Morning,Urban,Vanilla,146,5840
2022-01-18,1,Winter,26.091659573251317,Weekday,None,Morning,Urban,Chocolate,133,6650
2022-01-18,1,Winter,26.091659573251317,Weekday,None,Morning,Urban,Strawberry,109,4905
2022-01-18,1,Winter,26.091659573251317,Weekday,None,Morning,Urban,Butterscotch,100,5500
2022-01-18,1,Winter,26.091659573251317,Weekday,None,Morning,Urban,Coffee,66,3960
2022-01-19,1,Winter,23.565824696850694,Weekday,None,Evening,Rural,Vanilla,110,4400
2022-01-19,1,Winter,23.565824696850694,Weekday,None,Evening,Rural,Chocolate,130,6500
2022-01-19,1,Winter,23.565824696850694,Weekday,None,Evening,Rural,Strawberry,107,4815
2022-01-19,1,Winter,23.565824696850694,Weekday,None,Evening,Rural,Butterscotch,118,6490
2022-01-19,1,Winter,23.565824696850694,Weekday,None,Evening,Rural,Coffee,66,3960
2022-01-20,1,Winter,25.148042176962598,Weekday,None,Evening,Urban,Vanilla,155,6200
2022-01-20,1,Winter,25.148042176962598,Weekday,None,Evening,Urban,Chocolate,179,8950
2022-01-20,1,Winter,25.148042176962598,Weekday,None,Evening,Urban,Strawberry,109,4905
2022-01-20,1,Winter,25.148042176962598,Weekday,None,Evening,Urban,Butterscotch,163,8965
2022-01-20,1,Winter,25.148042176962598,Weekday,None,Evening,Urban,Coffee,114,6840
2022-01-21,1,Winter,24.46618047998347,Weekday,None,Afternoon,Urban,Vanilla,131,5240
2022-01-21,1,Winter,24.46618047998347,Weekday,None,Afternoon,Urban,Chocolate,137,6850
2022-01-21,1,Winter,24.46618047998347,Weekday,None,Afternoon,Urban,Strawberry,89,4005
2022-01-21,1,Winter,24.46618047998347,Weekday,None,Afternoon,Urban,Butterscotch,131,7205
2022-01-21,1,Winter,24.46618047998347,Weekday,None,Afternoon,Urban,Coffee,90,5400
2022-01-22,1,Winter,30.203266477185224,Weekend,None,Afternoon,Urban,Vanilla,142,5680
2022-01-22,1,Winter,30.203266477185224,Weekend,None,Afternoon,Urban,Chocolate,152,7600
2022-01-22,1,Winter,30.203266477185224,Weekend,None,Afternoon,Urban,Strawberry,133,5985
2022-01-22,1,Winter,30.203266477185224,Weekend,None,Afternoon,Urban,Butterscotch,151,8305
2022-01-22,1,Winter,30.203266477185224,Weekend,None,Afternoon,Urban,Coffee,123,7380
2022-01-23,1,Winter,23.419712873720634,Weekend,None,Night,Rural,Vanilla,94,3760
2022-01-23,1,Winter,23.419712873720634,Weekend,None,Night,Rural,Chocolate,129,6450
2022-01-23,1,Winter,23.419712873720634,Weekend,None,Night,Rural,Strawberry,80,3600
2022-01-23,1,Winter,23.419712873720634,Weekend,None,Night,Rural,Butterscotch,90,4950
2022-01-23,1,Winter,23.419712873720634,Weekend,None,Night,Rural,Coffee,68,4080
2022-01-24,1,Winter,24.13032772109186,Weekday,Christmas,Evening,Urban,Vanilla,168,6720
2022-01-24,1,Winter,24.13032772109186,Weekday,Christmas,Evening,Urban,Chocolate,201,10050
2022-01-24,1,Winter,24.13032772109186,Weekday,Christmas,Evening,Urban,Strawberry,133,5985
2022-01-24,1,Winter,24.13032772109186,Weekday,Christmas,Evening,Urban,Butterscotch,189,10395
2022-01-24,1,Winter,24.13032772109186,Weekday,Christmas,Evening,Urban,Coffee,142,8520
2022-01-25,1,Winter,25.24915372952583,Weekday,None,Afternoon,Urban,Vanilla,121,4840
2022-01-25,1,Winter,25.24915372952583,Weekday,None,Afternoon,Urban,Chocolate,131,6550
2022-01-25,1,Winter,25.24915372952583,Weekday,None,Afternoon,Urban,Strawberry,99,4455
2022-01-25,1,Winter,25.24915372952583,Weekday,None,Afternoon,Urban,Butterscotch,116,6380
2022-01-25,1,Winter,25.24915372952583,Weekday,None,Afternoon,Urban,Coffee,97,5820
2022-01-26,1,Winter,26.312068985000582,Weekday,None,Evening,Urban,Vanilla,139,5560
2022-01-26,1,Winter,26.312068985000582,Weekday,None,Evening,Urban,Chocolate,161,8050
2022-01-26,1,Winter,26.312068985000582,Weekday,None,Evening,Urban,Strawberry,136,6120
2022-01-26,1,Winter,26.312068985000582,Weekday,None,Evening,Urban,Butterscotch,141,7755
2022-01-26,1,Winter,26.312068985000582,Weekday,None,Evening,Urban,Coffee,107,6420
2022-01-27,1,Winter,20.54390935651269,Weekday,None,Evening,Urban,Vanilla,122,4880
2022-01-27,1,Winter,20.54390935651269,Weekday,None,Evening,Urban,Chocolate,139,6950
2022-01-27,1,Winter,20.54390935651269,Weekday,None,Evening,Urban,Strawberry,110,4950
2022-01-27,1,Winter,20.54390935651269,Weekday,None,Evening,Urban,Butterscotch,120,6600
2022-01-27,1,Winter,20.54390935651269,Weekday,None,Evening,Urban,Coffee,92,5520
2022-01-28,1,Winter,26.681140423398638,Weekday,Navratri,Evening,Urban,Vanilla,176,7040
2022-01-28,1,Winter,26.681140423398638,Weekday,Navratri,Evening,Urban,Chocolate,210,10500
2022-01-28,1,Winter,26.681140423398638,Weekday,Navratri,Evening,Urban,Strawberry,147,6615
2022-01-28,1,Winter,26.681140423398638,Weekday,Navratri,Evening,Urban,Butterscotch,224,12320
2022-01-28,1,Winter,26.681140423398638,Weekday,Navratri,Evening,Urban,Coffee,149,8940
2022-01-29,1,Winter,15.924572240027178,Weekend,None,Afternoon,Rural,Vanilla,75,3000
2022-01-29,1,Winter,15.924572240027178,Weekend,None,Afternoon,Rural,Chocolate,75,3750
2022-01-29,1,Winter,15.924572240027178,Weekend,None,Afternoon,Rural,Strawberry,90,4050
2022-01-29,1,Winter,15.924572240027178,Weekend,None,Afternoon,Rural,Butterscotch,75,4125
2022-01-29,1,Winter,15.924572240027178,Weekend,None,Afternoon,Rural,Coffee,53,3180
2022-01-30,1,Winter,22.953301097311357,Weekend,None,Evening,Rural,Vanilla,99,3960
2022-01-30,1,Winter,22.953301097311357,Weekend,None,Evening,Rural,Chocolate,180,9000
2022-01-30,1,Winter,22.953301097311357,Weekend,None,Evening,Rural,Strawberry,126,5670
2022-01-30,1,Winter,22.953301097311357,Weekend,None,Evening,Rural,Butterscotch,113,6215
2022-01-30,1,Winter,22.953301097311357,Weekend,None,Evening,Rural,Coffee,91,5460
2022-01-31,1,Winter,25.800733447559868,Weekday,Holi,Morning,Urban,Vanilla,131,5240
2022-01-31,1,Winter,25.800733447559868,Weekday,Holi,Morning,Urban,Chocolate,167,8350
2022-01-31,1,Winter,25.800733447559868,Weekday,Holi,Morning,Urban,Strawberry,156,7020
2022-01-31,1,Winter,25.800733447559868,Weekday,Holi,Morning,Urban,Butterscotch,156,8580
2022-01-31,1,Winter,25.800733447559868,Weekday,Holi,Morning,Urban,Coffee,99,5940
2022-02-01,2,Winter,18.11517257656042,Weekday,None,Afternoon,Urban,Vanilla,82,3280
2022-02-01,2,Winter,18.11517257656042,Weekday,None,Afternoon,Urban,Chocolate,94,4700
2022-02-01,2,Winter,18.11517257656042,Weekday,None,Afternoon,Urban,Strawberry,77,3465
2022-02-01,2,Winter,18.11517257656042,Weekday,None,Afternoon,Urban,Butterscotch,114,6270
2022-02-01,2,Winter,18.11517257656042,Weekday,None,Afternoon,Urban,Coffee,45,2700
2022-02-02,2,Winter,25.48949125646488,Weekday,Navratri,Afternoon,Urban,Vanilla,141,5640
2022-02-02,2,Winter,25.48949125646488,Weekday,Navratri,Afternoon,Urban,Chocolate,166,8300
2022-02-02,2,Winter,25.48949125646488,Weekday,Navratri,Afternoon,Urban,Strawberry,128,5760
2022-02-02,2,Winter,25.48949125646488,Weekday,Navratri,Afternoon,Urban,Butterscotch,165,9075
2022-02-02,2,Winter,25.48949125646488,Weekday,Navratri,Afternoon,Urban,Coffee,115,6900
2022-02-03,2,Winter,16.307869052534027,Weekday,None,Evening,Urban,Vanilla,128,5120
2022-02-03,2,Winter,16.307869052534027,Weekday,None,Evening,Urban,Chocolate,128,6400
2022-02-03,2,Winter,16.307869052534027,Weekday,None,Evening,Urban,Strawberry,106,4770
2022-02-03,2,Winter,16.307869052534027,Weekday,None,Evening,Urban,Butterscotch,124,6820
2022-02-03,2,Winter,16.307869052534027,Weekday,None,Evening,Urban,Coffee,77,4620
2022-02-04,2,Winter,21.375633248928175,Weekday,None,Morning,Rural,Vanilla,61,2440
2022-02-04,2,Winter,21.375633248928175,Weekday,None,Morning,Rural,Chocolate,73,3650
2022-02-04,2,Winter,21.375633248928175,Weekday,None,Morning,Rural,Strawberry,56,2520
2022-02-04,2,Winter,21.375633248928175,Weekday,None,Morning,Rural,Butterscotch,90,4950
2022-02-04,2,Winter,21.375633248928175,Weekday,None,Morning,Rural,Coffee,77,4620
2022-02-05,2,Winter,23.08604173582741,Weekend,Summer Vacation,Afternoon,Rural,Vanilla,137,5480
2022-02-05,2,Winter,23.08604173582741,Weekend,Summer Vacation,Afternoon,Rural,Chocolate,166,8300
2022-02-05,2,Winter,23.08604173582741,Weekend,Summer Vacation,Afternoon,Rural,Strawberry,125,5625
2022-02-05,2,Winter,23.08604173582741,Weekend,Summer Vacation,Afternoon,Rural,Butterscotch,141,7755
2022-02-05,2,Winter,23.08604173582741,Weekend,Summer Vacation,Afternoon,Rural,Coffee,105,6300
2022-02-06,2,Winter,25.832994687365275,Weekend,None,Night,Urban,Vanilla,118,4720
2022-02-06,2,Winter,25.832994687365275,Weekend,None,Night,Urban,Chocolate,176,8800
2022-02-06,2,Winter,25.832994687365275,Weekend,None,Night,Urban,Strawberry,108,4860
2022-02-06,2,Winter,25.832994687365275,Weekend,None,Night,Urban,Butterscotch,134,7370
2022-02-06,2,Winter,25.832994687365275,Weekend,None,Night,Urban,Coffee,105,6300
2022-02-07,2,Winter,22.036439527219677,Weekday,None,Afternoon,Rural,Vanilla,85,3400
2022-02-07,2,Winter,22.036439527219677,Weekday,None,Afternoon,Rural,Chocolate,90,4500
2022-02-07,2,Winter,22.036439527219677,Weekday,None,Afternoon,Rural,Strawberry,62,2790
2022-02-07,2,Winter,22.036439527219677,Weekday,None,Afternoon,Rural,Butterscotch,79,4345
2022-02-07,2,Winter,22.036439527219677,Weekday,None,Afternoon,Rural,Coffee,65,3900
2022-02-08,2,Winter,19.545337950299583,Weekday,None,Afternoon,Urban,Vanilla,120,4800
2022-02-08,2,Winter,19.545337950299583,Weekday,None,Afternoon,Urban,Chocolate,117,5850
2022-02-08,2,Winter,19.545337950299583,Weekday,None,Afternoon,Urban,Strawberry,89,4005
2022-02-08,2,Winter,19.545337950299583,Weekday,None,Afternoon,Urban,Butterscotch,87,4785
2022-02-08,2,Winter,19.545337950299583,Weekday,None,Afternoon,Urban,Coffee,70,4200
2022-02-09,2,Winter,15.72994675410916,Weekday,Summer Vacation,Afternoon,Rural,Vanilla,113,4520
2022-02-09,2,Winter,15.72994675410916,Weekday,Summer Vacation,Afternoon,Rural,Chocolate,110,5500
2022-02-09,2,Winter,15.72994675410916,Weekday,Summer Vacation,Afternoon,Rural,Strawberry,70,3150
2022-02-09,2,Winter,15.72994675410916,Weekday,Summer Vacation,Afternoon,Rural,Butterscotch,83,4565
2022-02-09,2,Winter,15.72994675410916,Weekday,Summer Vacation,Afternoon,Rural,Coffee,73,4380
2022-02-10,2,Winter,22.73489971332617,Weekday,None,Evening,Urban,Vanilla,120,4800
2022-02-10,2,Winter,22.73489971332617,Weekday,None,Evening,Urban,Chocolate,171,8550
2022-02-10,2,Winter,22.73489971332617,Weekday,None,Evening,Urban,Strawberry,108,4860
2022-02-10,2,Winter,22.73489971332617,Weekday,None,Evening,Urban,Butterscotch,131,7205
2022-02-10,2,Winter,22.73489971332617,Weekday,None,Evening,Urban,Coffee,122,7320
2022-02-11,2,Winter,15.888772195083583,Weekday,None,Morning,Rural,Vanilla,76,3040
2022-02-11,2,Winter,15.888772195083583,Weekday,None,Morning,Rural,Chocolate,62,3100
2022-02-11,2,Winter,15.888772195083583,Weekday,None,Morning,Rural,Strawberry,43,1935
2022-02-11,2,Winter,15.888772195083583,Weekday,None,Morning,Rural,Butterscotch,62,3410
2022-02-11,2,Winter,15.888772195083583,Weekday,None,Morning,Rural,Coffee,29,1740
2022-02-12,2,Winter,23.558039542723517,Weekend,None,Afternoon,Rural,Vanilla,118,4720
2022-02-12,2,Winter,23.558039542723517,Weekend,None,Afternoon,Rural,Chocolate,109,5450
2022-02-12,2,Winter,23.558039542723517,Weekend,None,Afternoon,Rural,Strawberry,92,4140
2022-02-12,2,Winter,23.558039542723517,Weekend,None,Afternoon,Rural,Butterscotch,106,5830
2022-02-12,2,Winter,23.558039542723517,Weekend,None,Afternoon,Rural,Coffee,91,5460
2022-02-13,2,Winter,23.420882163182693,Weekend,None,Evening,Urban,Vanilla,151,6040
2022-02-13,2,Winter,23.420882163182693,Weekend,None,Evening,Urban,Chocolate,212,10600
2022-02-13,2,Winter,23.420882163182693,Weekend,None,Evening,Urban,Strawberry,123,5535
2022-02-13,2,Winter,23.420882163182693,Weekend,None,Evening,Urban,Butterscotch,178,9790
2022-02-13,2,Winter,23.420882163182693,Weekend,None,Evening,Urban,Coffee,122,7320
2022-02-14,2,Winter,28.56940879965302,Weekday,None,Afternoon,Urban,Vanilla,103,4120
2022-02-14,2,Winter,28.56940879965302,Weekday,None,Afternoon,Urban,Chocolate,154,7700
2022-02-14,2,Winter,28.56940879965302,Weekday,None,Afternoon,Urban,Strawberry,76,3420
2022-02-14,2,Winter,28.56940879965302,Weekday,None,Afternoon,Urban,Butterscotch,98,5390
2022-02-14,2,Winter,28.56940879965302,Weekday,None,Afternoon,Urban,Coffee,98,5880
2022-02-15,2,Winter,23.714042530980365,Weekday,None,Night,Urban,Vanilla,115,4600
2022-02-15,2,Winter,23.714042530980365,Weekday,None,Night,Urban,Chocolate,101,5050
2022-02-15,2,Winter,23.714042530980365,Weekday,None,Night,Urban,Strawberry,118,5310
2022-02-15,2,Winter,23.714042530980365,Weekday,None,Night,Urban,Butterscotch,128,7040
2022-02-15,2,Winter,23.714042530980365,Weekday,None,Night,Urban,Coffee,73,4380
2022-02-16,2,Winter,16.860596412727368,Weekday,None,Evening,Rural,Vanilla,105,4200
2022-02-16,2,Winter,16.860596412727368,Weekday,None,Evening,Rural,Chocolate,65,3250
2022-02-16,2,Winter,16.860596412727368,Weekday,None,Evening,Rural,Strawberry,63,2835
2022-02-16,2,Winter,16.860596412727368,Weekday,None,Evening,Rural,Butterscotch,92,5060
2022-02-16,2,Winter,16.860596412727368,Weekday,None,Evening,Rural,Coffee,67,4020
2022-02-17,2,Winter,22.77816792699908,Weekday,None,Night,Rural,Vanilla,77,3080
2022-02-17,2,Winter,22.77816792699908,Weekday,None,Night,Rural,Chocolate,81,4050
2022-02-17,2,Winter,22.77816792699908,Weekday,None,Night,Rural,Strawberry,75,3375
2022-02-17,2,Winter,22.77816792699908,Weekday,None,Night,Rural,Butterscotch,64,3520
2022-02-17,2,Winter,22.77816792699908,Weekday,None,Night,Rural,Coffee,56,3360
2022-02-18,2,Winter,22.360886895135696,Weekday,None,Evening,Urban,Vanilla,134,5360
2022-02-18,2,Winter,22.360886895135696,Weekday,None,Evening,Urban,Chocolate,140,7000
2022-02-18,2,Winter,22.360886895135696,Weekday,None,Evening,Urban,Strawberry,109,4905
2022-02-18,2,Winter,22.360886895135696,Weekday,None,Evening,Urban,Butterscotch,143,7865
2022-02-18,2,Winter,22.360886895135696,Weekday,None,Evening,Urban,Coffee,132,7920
2022-02-19,2,Winter,22.344584404641687,Weekend,None,Evening,Rural,Vanilla,145,5800
2022-02-19,2,Winter,22.344584404641687,Weekend,None,Evening,Rural,Chocolate,142,7100
2022-02-19,2,Winter,22.344584404641687,Weekend,None,Evening,Rural,Strawberry,124,5580
2022-02-19,2,Winter,22.344584404641687,Weekend,None,Evening,Rural,Butterscotch,143,7865
2022-02-19,2,Winter,22.344584404641687,Weekend,None,Evening,Rural,Coffee,118,7080
2022-02-20,2,Winter,19.105229618259685,Weekend,None,Morning,Urban,Vanilla,117,4680
2022-02-20,2,Winter,19.105229618259685,Weekend,None,Morning,Urban,Chocolate,102,5100
2022-02-20,2,Winter,19.105229618259685,Weekend,None,Morning,Urban,Strawberry,118,5310
2022-02-20,2,Winter,19.105229618259685,Weekend,None,Morning,Urban,Butterscotch,131,7205
2022-02-20,2,Winter,19.105229618259685,Weekend,None,Morning,Urban,Coffee,83,4980
2022-02-21,2,Winter,22.600403257520266,Weekday,None,Afternoon,Rural,Vanilla,40,1600
2022-02-21,2,Winter,22.600403257520266,Weekday,None,Afternoon,Rural,Chocolate,61,3050
2022-02-21,2,Winter,22.600403257520266,Weekday,None,Afternoon,Rural,Strawberry,64,2880
2022-02-21,2,Winter,22.600403257520266,Weekday,None,Afternoon,Rural,Butterscotch,85,4675
2022-02-21,2,Winter,22.600403257520266,Weekday,None,Afternoon,Rural,Coffee,57,3420
2022-02-22,2,Winter,15.79767369988037,Weekday,Navratri,Afternoon,Urban,Vanilla,111,4440
2022-02-22,2,Winter,15.79767369988037,Weekday,Navratri,Afternoon,Urban,Chocolate,118,5900
2022-02-22,2,Winter,15.79767369988037,Weekday,Navratri,Afternoon,Urban,Strawberry,108,4860
2022-02-22,2,Winter,15.79767369988037,Weekday,Navratri,Afternoon,Urban,Butterscotch,134,7370
2022-02-22,2,Winter,15.79767369988037,Weekday,Navratri,Afternoon,Urban,Coffee,85,5100
2022-02-23,2,Winter,28.16527782586442,Weekday,Holi,Afternoon,Urban,Vanilla,144,5760
2022-02-23,2,Winter,28.16527782586442,Weekday,Holi,Afternoon,Urban,Chocolate,171,8550
2022-02-23,2,Winter,28.16527782586442,Weekday,Holi,Afternoon,Urban,Strawberry,122,5490
2022-02-23,2,Winter,28.16527782586442,Weekday,Holi,Afternoon,Urban,Butterscotch,162,8910
2022-02-23,2,Winter,28.16527782586442,Weekday,Holi,Afternoon,Urban,Coffee,104,6240
2022-02-24,2,Winter,20.339052083958453,Weekday,Holi,Evening,Urban,Vanilla,138,5520
2022-02-24,2,Winter,20.339052083958453,Weekday,Holi,Evening,Urban,Chocolate,194,9700
2022-02-24,2,Winter,20.339052083958453,Weekday,Holi,Evening,Urban,Strawberry,158,7110
2022-02-24,2,Winter,20.339052083958453,Weekday,Holi,Evening,Urban,Butterscotch,184,10120
2022-02-24,2,Winter,20.339052083958453,Weekday,Holi,Evening,Urban,Coffee,115,6900
2022-02-25,2,Winter,19.79076348322706,Weekday,None,Afternoon,Urban,Vanilla,98,3920
2022-02-25,2,Winter,19.79076348322706,Weekday,None,Afternoon,Urban,Chocolate,84,4200
2022-02-25,2,Winter,19.79076348322706,Weekday,None,Afternoon,Urban,Strawberry,100,4500
2022-02-25,2,Winter,19.79076348322706,Weekday,None,Afternoon,Urban,Butterscotch,122,6710
2022-02-25,2,Winter,19.79076348322706,Weekday,None,Afternoon,Urban,Coffee,67,4020
2022-02-26,2,Winter,23.7296708891673,Weekend,Christmas,Evening,Urban,Vanilla,190,7600
2022-02-26,2,Winter,23.7296708891673,Weekend,Christmas,Evening,Urban,Chocolate,246,12300
2022-02-26,2,Winter,23.7296708891673,Weekend,Christmas,Evening,Urban,Strawberry,130,5850
2022-02-26,2,Winter,23.7296708891673,Weekend,Christmas,Evening,Urban,Butterscotch,192,10560
2022-02-26,2,Winter,23.7296708891673,Weekend,Christmas,Evening,Urban,Coffee,135,8100
2022-02-27,2,Winter,21.439284632318774,Weekend,None,Afternoon,Urban,Vanilla,113,4520
2022-02-27,2,Winter,21.439284632318774,Weekend,None,Afternoon,Urban,Chocolate,162,8100
